artist,album,track_name
Band of Horses,Everything All The Time,The Funeral
$uicideboy$,Long Term Effects of SUFFERING,Bleach
Mac Miller,GO:OD AM,Weekend (feat. Miguel)
Death Grips,The Money Store,I've Seen Footage
Moddi,Unsongs,A Matter of Habit
KRS-One,Return of the Boom Bap,Sound of da Police
Killer Mike,R.A.P. Music,Reagan
clipping.,There Existed an Addiction to Blood,Nothing is Safe
Vampire Weekend,Contra,Run
Artemas,Can't Stop Loving You,Can't Stop Loving You
Cayo Coco,A Beautiful Moon,Sky Song
Alex G,Treehouse,Treehouse
Bon Iver,"For Emma, Forever Ago",For Emma
✝✝✝ (Crosses),††† (Crosses),Bitches Brew
Camille Saint-Saëns,Saint-Saëns: Organ Symphony; Bacchanale; Danse Macabre; Carnaval des Animaux,"Carnival of the Animals, R. 125: The Swan"
Toshifumi Hinata,ひとつぶの海,Menuet
"Slaughter Beach, Dog",Live At The Cabin,My Girl
Banes World,You Say I'm in Love,You Say I'm in Love
Lord Huron,Long Lost,Long Lost
Bad Omens,Finding God Before God Finds Me,Careful What You Wish For
Sir Chloe,Party Favors,Animal
sundiver ca,Superstar Baby,Soundtrack for Your Backseat
The Neighbourhood,I Love You.,Flawless
Mitski,The Land Is Inhospitable and So Are We,My Love Mine All Mine
The Smashing Pumpkins,Mellon Collie And The Infinite Sadness (Deluxe Edition),Zero - Remastered 2012
Type O Negative,Bloody Kisses (Top Shelf Edition),Christian Woman
The Black Skirts,TEAM BABY,EVERYTHING
Paramore,Brand New Eyes,The Only Exception
Lil Wayne,Tha Carter IV (Deluxe),She Will
Hozier,Hozier (Expanded Edition),To Be Alone
Beach Bunny,Honeymoon,Cloud 9
Yves Tumor,Heaven To A Tortured Mind,Kerosene!
Neon Indian,Era Extraña,Polish Girl
The Black Keys,El Camino,Gold on the Ceiling
Portugal. The Man,Woodstock,Feel It Still
All Them Witches,Blacksnake Blues,Blacksnake Blues
Ramirez,THE PLAYA$ MANUAL,Lavender Lust
Thundercat,It Is What It Is,Funny Thing
Childish Gambino,"""Awaken, My Love!""",Me and Your Mama
The Stooges,The Stooges,I Wanna Be Your Dog
$uicideboy$,KILL YOURSELF Part IX: The Soulseek Saga,Harvest Moon
Mild High Club,Skiptracing,Homage
MF DOOM,MM...FOOD,Rapp Snitch Knishes feat. Mr. Fantastik
Mac DeMarco,2,Freaking Out The Neighborhood
Pastel Ghost,Abyss,Skeleton
Prince,[Love Symbol],7
Beastie Boys,Hello Nasty (Deluxe Edition/Remastered),Intergalactic - Remastered 2009
Cypress Hill,Black Sunday,Insane in the Brain
Wu-Tang Clan,Enter The Wu-Tang (36 Chambers) [Expanded Edition],Wu-Tang Clan Ain't Nuthing ta F' Wit
A Tribe Called Quest,People's Instinctive Travels and the Paths of Rhythm (25th Anniversary Edition),Can I Kick It?
Dead Prez,Let's Get Free,Hip-Hop
The Cars,The Cars,Just What I Needed
The Clash,London Calling (Remastered),London Calling - Remastered
Sex Pistols,"Never Mind The Bollocks, Here's The Sex Pistols",Anarchy in the U.K.
Ramones,Ramones (40th Anniversary Deluxe Edition; 2016 Remaster),Judy Is a Punk - 2016 Remaster
The Rolling Stones,Sticky Fingers (Remastered),Brown Sugar - Remastered 2009
The Runaways,The Runaways,Cherry Bomb
The Runaways,The Runaways,You Drive Me Wild
The Cramps,Off The Bone,Human Fly
New Politics,A Bad Girl In Harlem,Harlem
Wallows,Pleaser,Pleaser
girl in red,if i could make it go quiet,midnight love
